_id,name,category_code,number_of_employees,founded_year,deadpooled_year,description,latitude,longitude,country,state,city,monedas,total_amount_raised,geo,num_companies,num_employees,total_money
5d83a90255488441b3fff55b,Kyte,games_video,40,2006.0,,Online & Mobile Video Platform,37.788482,-122.409173,USA,CA,San Francisco,Dolares estadounidenses,23400000.0,"{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}",14,1532,545170000.0
5d83a90255488441b3fff55c,Twitter,social,1300,2006.0,,Real time communication platform,37.7768052,-122.4169244,USA,CA,San Francisco,Dolares estadounidenses,1160000000.0,"{'type': 'Point', 'coordinates': [-122.4169244, 37.7768052]}",3,1487,1233400000.0
5d83a90255488441b3fff563,Ustream,games_video,250,2007.0,,Live Social Video Community,37.392936,-122.07948,USA,CA,San Francisco,Dolares estadounidenses,60100000.0,"{'type': 'Point', 'coordinates': [-122.07948, 37.392936]}",8,1895,457830000.0
5d83a90255488441b3fff567,Pageflakes,web,20,2006.0,,AJAX Homepage Service,37.758113,-122.414689,USA,CA,San Francisco,Dolares estadounidenses,4099999.9999999995,"{'type': 'Point', 'coordinates': [-122.414689, 37.758113]}",1,20,4099999.9999999995
5d83a90255488441b3fff56a,Eventbrite,web,200,2006.0,,Online event management & ticketing,37.779507,-122.39071,USA,CA,San Francisco,Dolares estadounidenses,140000000.0,"{'type': 'Point', 'coordinates': [-122.39071, 37.779507]}",11,1247,306400000.0
5d83a90255488441b3fff56f,Flixster,web,75,2006.0,,Movie social networking,37.766909,-122.406676,USA,CA,San Francisco,Dolares estadounidenses,7180000.0,"{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}",4,380,919480000.0
5d83a90255488441b3fff571,PowerReviews,social,120,,,Social Commerce Solutions,37.779558,-122.393041,USA,CA,San Francisco,Dolares estadounidenses,40100000.0,"{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",12,1290,316900000.0
5d83a90255488441b3fff572,hi5,games_video,100,2003.0,,,37.788668,-122.400558,USA,CA,San Francisco,Dolares estadounidenses,52000000.0,"{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}",20,1910,716470000.0
5d83a90255488441b3fff573,GoingOn,software,40,2008.0,,Private Academic Networks,37.782263,-122.392142,USA,CA,San Francisco,Dolares estadounidenses,8500000.0,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}",18,1614,459700000.0
5d83a90255488441b3fff574,Tagged,social,162,2004.0,,,37.7753,-122.4186,USA,CA,San Francisco,Dolares estadounidenses,28700000.0,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",3,1487,1233400000.0
5d83a90255488441b3fff577,Grockit,social,25,2006.0,,Online social learning games,37.775196,-122.419204,USA,CA,San Francisco,Dolares estadounidenses,44700000.0,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",3,1487,1233400000.0
5d83a90255488441b3fff579,Curse,games_video,58,2006.0,,Online games media company,37.787092,-122.399972,USA,CA,San Francisco,Dolares estadounidenses,12000000.0,"{'type': 'Point', 'coordinates': [-122.399972, 37.787092]}",23,2500,754270000.0
5d83a90255488441b3fff57b,Dropbox,software,350,2007.0,,"Always have your stuff, wherever you are",37.7909427,-122.4084994,USA,CA,San Francisco,Dolares estadounidenses,257000000.0,"{'type': 'Point', 'coordinates': [-122.4084994, 37.7909427]}",15,1612,578170000.0
5d83a90255488441b3fff57c,Yola,web,70,2007.0,,Free Websites,37.7911148,-122.3954751,USA,CA,San Francisco,Dolares estadounidenses,25000000.0,"{'type': 'Point', 'coordinates': [-122.3954751, 37.7911148]}",16,950,368570000.0
5d83a90255488441b3fff57d,Kongregate,games_video,20,2006.0,,Gaming social network,37.786942,-122.401245,USA,CA,San Francisco,Dolares estadounidenses,19000000.0,"{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}",22,2000,714270000.0
5d83a90255488441b3fff57e,BitTorrent,web,80,2004.0,,Software and Internet Protocols,37.790998,-122.394668,USA,CA,San Francisco,Dolares estadounidenses,40800000.0,"{'type': 'Point', 'coordinates': [-122.394668, 37.790998]}",18,1490,417070000.0
5d83a90255488441b3fff57f,OpenTable,web,550,1998.0,,Online Restaurant Reservation Provider,37.785647,-122.405265,USA,CA,San Francisco,Dolares estadounidenses,48000000.0,"{'type': 'Point', 'coordinates': [-122.405265, 37.785647]}",17,1680,576170000.0
5d83a90255488441b3fff58a,Crunchyroll,games_video,50,2008.0,,Digital Entertainment and Media Platform,37.781265,-122.393229,USA,CA,San Francisco,Dolares estadounidenses,4800000.0,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}",17,1534,418900000.0
5d83a90255488441b3fff58d,Rupture,games_video,25,,,Gaming Social Network,37.783898,-122.395234,USA,CA,San Francisco,Dolares estadounidenses,3000000.0,"{'type': 'Point', 'coordinates': [-122.395234, 37.783898]}",27,2662,706470000.0
5d83a90255488441b3fff590,Automattic,web,200,2005.0,,Develops publishing platforms,37.744274,-122.421344,USA,CA,San Francisco,Dolares estadounidenses,30600000.0,"{'type': 'Point', 'coordinates': [-122.421344, 37.744274]}",1,200,30600000.0
5d83a90255488441b3fff592,Disqus,web,43,2007.0,,The Web's Community of Communities,37.786906,-122.397672,USA,CA,San Francisco,Dolares estadounidenses,10500000.0,"{'type': 'Point', 'coordinates': [-122.397672, 37.786906]}",24,2415,555470000.0
5d83a90255488441b3fff595,Splunk,software,500,2003.0,,Machine data analytics,37.78274,-122.390945,USA,CA,San Francisco,Dolares estadounidenses,40000000.0,"{'type': 'Point', 'coordinates': [-122.390945, 37.78274]}",16,1514,423200000.0
5d83a90255488441b3fff597,HubPages,web,21,2006.0,,Most rewarding place to publish online,37.7876952,-122.3991505,USA,CA,San Francisco,Dolares estadounidenses,8000000.0,"{'type': 'Point', 'coordinates': [-122.3991505, 37.7876952]}",23,2500,754270000.0
5d83a90255488441b3fff59d,Zynga,games_video,115,2007.0,,Network of gaming applications,37.765158,-122.404234,USA,CA,San Francisco,Dolares estadounidenses,860000000.0,"{'type': 'Point', 'coordinates': [-122.404234, 37.765158]}",4,380,919480000.0
5d83a90255488441b3fff59e,clipsync,web,28,2007.0,,Social TV,37.2906027,-121.9317853,USA,CA,San Francisco,Dolares estadounidenses,1510000.0,"{'type': 'Point', 'coordinates': [-121.9317853, 37.2906027]}",2,15028,8210000.0
5d83a90255488441b3fff59f,Craigslist,web,25,1995.0,,,37.762512,-122.46649,USA,CA,San Francisco,Dolares estadounidenses,13500000.0,"{'type': 'Point', 'coordinates': [-122.46649, 37.762512]}",1,25,13500000.0
5d83a90255488441b3fff5bb,UserVoice,software,22,2008.0,,Online feedback and support software,36.9751032,-122.0253784,USA,CA,San Francisco,Dolares estadounidenses,1800000.0,"{'type': 'Point', 'coordinates': [-122.0253784, 36.9751032]}",1,22,1800000.0
5d83a90255488441b3fff5bd,Serious Business,games_video,22,2008.0,,Social Game Development Studio,37.7893215,-122.4013624,USA,CA,San Francisco,Dolares estadounidenses,4000000.0,"{'type': 'Point', 'coordinates': [-122.4013624, 37.7893215]}",20,1910,716470000.0
5d83a90255488441b3fff5bf,Kabam,games_video,650,2006.0,,Leader in Gaming,37.3944561,-122.0785314,USA,CA,San Francisco,Dolares estadounidenses,125000000.0,"{'type': 'Point', 'coordinates': [-122.0785314, 37.3944561]}",6,1522,313730000.0
5d83a90255488441b3fff5c1,Zinch,web,80,2007.0,,Connecting students with opportunities,40.234451,-111.658656,USA,CA,San Francisco,Dolares estadounidenses,5000000.0,"{'type': 'Point', 'coordinates': [-111.658656, 40.234451]}",1,80,5000000.0
